local_datetime,timezone,longitude_deg,latitude_deg,year_pillar,month_pillar,day_pillar,hour_pillar,month_term,delta_t_seconds,dataset_version,notes
1990-02-22T12:00:00,Asia/Seoul,126.9784,37.5665,庚午,戊寅,戊午,,立春,,SL-DB-v10.4,"{""num"": ""32925"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-01-27"", ""lunar_yun"": ""0"", ""month_code"": ""B"", ""month_24"": ""2"", ""day_time"": ""181119"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-02-23T12:00:00,Asia/Seoul,126.9784,37.5665,庚午,戊寅,己未,,立春,,SL-DB-v10.4,"{""num"": ""32926"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-01-28"", ""lunar_yun"": ""0"", ""month_code"": ""B"", ""month_24"": ""2"", ""day_time"": ""191119"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-02-24T12:00:00,Asia/Seoul,126.9784,37.5665,庚午,戊寅,庚申,,立春,,SL-DB-v10.4,"{""num"": ""32927"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-01-29"", ""lunar_yun"": ""0"", ""month_code"": ""B"", ""month_24"": ""2"", ""day_time"": ""201119"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-02-25T12:00:00,Asia/Seoul,126.9784,37.5665,庚午,戊寅,辛酉,,立春,,SL-DB-v10.4,"{""num"": ""32928"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-02-01"", ""lunar_yun"": ""0"", ""month_code"": ""B"", ""month_24"": ""2"", ""day_time"": ""211119"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-02-26T12:00:00,Asia/Seoul,126.9784,37.5665,庚午,戊寅,壬戌,,立春,,SL-DB-v10.4,"{""num"": ""32929"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-02-02"", ""lunar_yun"": ""0"", ""month_code"": ""B"", ""month_24"": ""2"", ""day_time"": ""221119"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-02-27T12:00:00,Asia/Seoul,126.9784,37.5665,庚午,戊寅,癸亥,,立春,,SL-DB-v10.4,"{""num"": ""32930"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-02-03"", ""lunar_yun"": ""0"", ""month_code"": ""B"", ""month_24"": ""2"", ""day_time"": ""231119"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-02-28T12:00:00,Asia/Seoul,126.9784,37.5665,庚午,戊寅,甲子,,立春,,SL-DB-v10.4,"{""num"": ""32931"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-02-04"", ""lunar_yun"": ""0"", ""month_code"": ""B"", ""month_24"": ""2"", ""day_time"": ""241119"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-03-01T12:00:00,Asia/Seoul,126.9784,37.5665,庚午,戊寅,乙丑,,立春,,SL-DB-v10.4,"{""num"": ""32932"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-02-05"", ""lunar_yun"": ""0"", ""month_code"": ""B"", ""month_24"": ""2"", ""day_time"": ""251119"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-03-02T12:00:00,Asia/Seoul,126.9784,37.5665,庚午,戊寅,丙寅,,立春,,SL-DB-v10.4,"{""num"": ""32933"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-02-06"", ""lunar_yun"": ""0"", ""month_code"": ""B"", ""month_24"": ""2"", ""day_time"": ""261119"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-03-03T12:00:00,Asia/Seoul,126.9784,37.5665,庚午,戊寅,丁卯,,立春,,SL-DB-v10.4,"{""num"": ""32934"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-02-07"", ""lunar_yun"": ""0"", ""month_code"": ""B"", ""month_24"": ""2"", ""day_time"": ""271119"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-03-04T12:00:00,Asia/Seoul,126.9784,37.5665,庚午,戊寅,戊辰,,立春,,SL-DB-v10.4,"{""num"": ""32935"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-02-08"", ""lunar_yun"": ""0"", ""month_code"": ""B"", ""month_24"": ""2"", ""day_time"": ""281119"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-03-05T12:00:00,Asia/Seoul,126.9784,37.5665,庚午,戊寅,己巳,,立春,,SL-DB-v10.4,"{""num"": ""32936"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-02-09"", ""lunar_yun"": ""0"", ""month_code"": ""B"", ""month_24"": ""2"", ""day_time"": ""291119"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-03-06T12:00:00,Asia/Seoul,126.9784,37.5665,庚午,己卯,庚午,,驚蟄,,SL-DB-v10.4,"{""num"": ""32937"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-02-10"", ""lunar_yun"": ""0"", ""month_code"": ""C"", ""month_24"": ""3"", ""day_time"": ""521"", ""div_hour"": ""5"", ""div_minute"": ""17""}"
1990-03-07T12:00:00,Asia/Seoul,126.9784,37.5665,庚午,己卯,辛未,,驚蟄,,SL-DB-v10.4,"{""num"": ""32938"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-02-11"", ""lunar_yun"": ""0"", ""month_code"": ""C"", ""month_24"": ""3"", ""day_time"": ""10521"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-03-08T12:00:00,Asia/Seoul,126.9784,37.5665,庚午,己卯,壬申,,驚蟄,,SL-DB-v10.4,"{""num"": ""32939"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-02-12"", ""lunar_yun"": ""0"", ""month_code"": ""C"", ""month_24"": ""3"", ""day_time"": ""20521"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
